SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI;FS;LS;
3b3801f0fc76528e42390df701f513fc62cbf154_FixedSupplyToken.sol;3b;Owned;contract;25;21;0;2;2;0;0;1;8;0;0;1;0;2;2;1.0;0.0;0.0;0.5;4.0;1.0;2019-02-25T04:03:27.000Z;2019-02-25T04:03:27.000Z;
5bac8421aa6426b8b6a53c0cff5f198236484406_DAI.sol;5b;DAI;contract;110;84;36;9;26;7;7;15;63;1;1;0;0;8;15;2.888888888888889;0.7777777777777778;0.7777777777777778;1.6666666666666667;7.0;1.6666666666666667;2019-02-25T03:12:45.000Z;2019-02-25T03:12:45.000Z;
af399f546bbbd27804d83af76397d2b27077ca9f_SCH.sol;af;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75;2019-02-22T10:38:47.000Z;2019-02-22T10:38:47.000Z;
0f97c5939d1dd5f8d3520532caec7d82b269f293_Banker.sol;0f;Banker;contract;431;323;24;12;57;11;11;16;306;0;0;0;0;5;25;4.75;0.9166666666666666;0.9166666666666666;1.3333333333333333;25.5;2.0833333333333335;2019-02-04T04:20:36.000Z;2019-02-04T04:20:36.000Z;
5487775230424657812295acb5623cac971f54de_BingoCoin.sol;54;BingoCoin;contract;154;72;83;7;8;1;1;16;37;0;0;0;1;6;10;1.1428571428571428;0.14285714285714285;0.14285714285714285;2.2857142857142856;5.285714285714286;1.4285714285714286;2019-02-25T01:32:48.000Z;2019-02-25T01:32:48.000Z;
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;EIP20;contract;5;5;0;0;0;0;0;0;0;2;2;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0;2019-01-28T07:06:01.000Z;2019-01-28T07:06:01.000Z;
9f63a5d92162975a08555f54752503b96277526d_EthICO.sol;9f;EthICO;contract;16;16;0;4;7;3;3;2;6;0;0;0;0;2;1;1.75;0.75;0.75;0.5;1.5;0.25;2019-02-24T22:50:55.000Z;2019-02-24T22:50:55.000Z;
8b3d70d628ebd30d4a2ea82db95ba2e906c71633_BZxVault.sol;8b;BZxVault;contract;16;13;1;2;2;0;0;1;0;2;3;0;0;10;0;1.0;0.0;0.0;0.5;0.0;0.0;2019-01-03T21:31:58.000Z;2019-01-03T21:31:58.000Z;
1cf226e9413addaf22412a2e182f9c0de44af002_BZxProxy.sol;1c;GasTracker;contract;13;8;3;0;0;0;0;0;3;0;0;2;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;2019-01-28T07:19:19.000Z;2019-01-28T07:19:19.000Z;
edc1a631d4c3d0f554da14a4bce630f6cbc30a68_NitroPlatformToken.sol;ed;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0;2019-02-24T22:34:17.000Z;2019-02-24T22:34:17.000Z;
f7a76edcf0ffacbf3d62d0c1db88220b8a9cce0b_SnaltaCoinToken.sol;f7;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0;2019-02-24T21:26:33.000Z;2019-02-24T21:26:33.000Z;
cd7a9cfe41710bd520e3ae15bd55f813543c2bb2_ILUM.sol;cd;ILUM;contract;123;82;18;11;12;1;1;12;37;0;0;0;1;15;20;1.0909090909090908;0.09090909090909091;0.09090909090909091;1.0909090909090908;3.3636363636363638;1.8181818181818181;2019-02-24T20:18:09.000Z;2019-02-24T20:18:09.000Z;
22fade931b5c89c9bd8cc9de98dcfee50ed8bcf2_Eircoin.sol;22;tokenRecipient;interface;4;2;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0;2019-02-24T19:35:24.000Z;2019-02-24T19:35:24.000Z;
